DATE,HCIYISZAA066NRUG
1950-01-01,1.6522005796432495
1951-01-01,1.6698434352874756
1952-01-01,1.687674880027771
1953-01-01,1.7056965827941895
1954-01-01,1.720265507698059
1955-01-01,1.7340933084487915
1956-01-01,1.7350234985351562
1957-01-01,1.7359541654586792
1958-01-01,1.7368853092193604
1959-01-01,1.7378169298171997
1960-01-01,1.7387491464614868
1961-01-01,1.7442209720611572
1962-01-01,1.749710202217102
1963-01-01,1.7552165985107422
1964-01-01,1.7607403993606567
1965-01-01,1.7662814855575562
1966-01-01,1.7718400955200195
1967-01-01,1.7774162292480469
1968-01-01,1.7830097675323486
1969-01-01,1.7886210680007935
1970-01-01,1.7942498922348022
1971-01-01,1.8013254404067993
1972-01-01,1.8084287643432617
1973-01-01,1.815560221672058
1974-01-01,1.822719693183899
1975-01-01,1.8299074172973633
1976-01-01,1.8371235132217407
1977-01-01,1.8443681001663208
1978-01-01,1.851641297340393
1979-01-01,1.858942985534668
1980-01-01,1.8662736415863037
1981-01-01,1.8703895807266235
1982-01-01,1.8745145797729492
1983-01-01,1.8786487579345703
1984-01-01,1.8827919960021973
1985-01-01,1.88694429397583
1986-01-01,1.8911060094833374
1987-01-01,1.895276665687561
1988-01-01,1.8994566202163696
1989-01-01,1.9036457538604736
1990-01-01,1.907844066619873
1991-01-01,1.9249558448791504
1992-01-01,1.9422211647033691
1993-01-01,1.9596413373947144
1994-01-01,1.9772177934646606
1995-01-01,1.994951844215393
1996-01-01,2.0128448009490967
1997-01-01,2.0308985710144043
1998-01-01,2.0491139888763428
1999-01-01,2.067492961883545
2000-01-01,2.0860366821289062
2001-01-01,2.1245133876800537
2002-01-01,2.1636998653411865
2003-01-01,2.2036092281341553
2004-01-01,2.2442543506622314
2005-01-01,2.285649299621582
2006-01-01,2.327808141708374
2007-01-01,2.370744228363037
2008-01-01,2.4144723415374756
2009-01-01,2.4590070247650146
2010-01-01,2.5043632984161377
2011-01-01,2.5577144622802734
2012-01-01,2.5960116386413574
2013-01-01,2.6351492404937744
2014-01-01,2.675950527191162
2015-01-01,2.718503475189209
2016-01-01,2.762902021408081
2017-01-01,2.8092458248138428
2018-01-01,2.8576412200927734
2019-01-01,2.9082024097442627
