Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Liberia,LBR,2017,Firms with female top manager (% of firms),IC.FRM.FEMM.ZS,20.4
Liberia,LBR,2009,Firms with female top manager (% of firms),IC.FRM.FEMM.ZS,29.9
Liberia,LBR,2017,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,37.4
Liberia,LBR,2009,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,53
Liberia,LBR,2019,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,71.8499984741211
Liberia,LBR,2017,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,45.6387100219727
Liberia,LBR,2013,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,63.2000045776367
Liberia,LBR,2007,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,37.1703109741211
Liberia,LBR,1984,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,33.7245597839355
Liberia,LBR,2019,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,0.833236753940582
Liberia,LBR,2017,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,0.702600002288818
Liberia,LBR,2013,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,0.754626929759979
Liberia,LBR,2007,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,0.585810005664825
Liberia,LBR,1984,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,0.536779999732971
Liberia,LBR,2019,"Literacy rate, youth male (% of males ages 15-24)",SE.ADT.1524.LT.MA.ZS,86.2299957275391
Liberia,LBR,2017,"Literacy rate, youth male (% of males ages 15-24)",SE.ADT.1524.LT.MA.ZS,64.9571304321289
Liberia,LBR,2013,"Literacy rate, youth male (% of males ages 15-24)",SE.ADT.1524.LT.MA.ZS,83.75
Liberia,LBR,2007,"Literacy rate, youth male (% of males ages 15-24)",SE.ADT.1524.LT.MA.ZS,63.4510192871094
Liberia,LBR,1984,"Literacy rate, youth male (% of males ages 15-24)",SE.ADT.1524.LT.MA.ZS,62.8272895812988
